team_home,team_away,goals_home,goals_away,season,league_division,group
Länsiväylän Dynamo,Vermo Vikings,2,0,25,6,1
KJS/Sininen,EPS/2,0,4,25,6,1
Tikka/2,HooGee/Hodari,2,0,25,6,1
AC Rastaala,ViTa,4,3,25,6,1
ViTa,Tikka/2,1,1,25,6,1
FC Kirkkonummi/2,AC Rastaala,1,1,25,6,1
Vermo Vikings,KJS/Sininen,1,3,25,6,1
HooGee/Hodari,Länsiväylän Dynamo,4,2,25,6,1
AC Rastaala,EPS/2,1,1,25,6,1
ViTa,HooGee/Hodari,1,1,25,6,1
Tikka/2,KJS/Sininen,3,1,25,6,1
Vermo Vikings,FC Kirkkonummi/2,2,4,25,6,1
FC Kirkkonummi/2,ViTa,1,3,25,6,1
EPS/2,Länsiväylän Dynamo,1,2,25,6,1
KJS/Sininen,AC Rastaala,2,0,25,6,1
HooGee/Hodari,Vermo Vikings,1,3,25,6,1
ViTa,KJS/Sininen,2,6,25,6,1
Länsiväylän Dynamo,FC Kirkkonummi/2,1,1,25,6,1
Tikka/2,EPS/2,0,1,25,6,1
AC Rastaala,Vermo Vikings,1,1,25,6,1
FC Kirkkonummi/2,HooGee/Hodari,1,2,25,6,1
EPS/2,ViTa,2,1,25,6,1
Vermo Vikings,Tikka/2,1,1,25,6,1
AC Rastaala,Länsiväylän Dynamo,5,0,25,6,1
ViTa,Vermo Vikings,0,3,25,6,1
HooGee/Hodari,EPS/2,0,2,25,6,1
Tikka/2,FC Kirkkonummi/2,4,2,25,6,1
Länsiväylän Dynamo,KJS/Sininen,1,5,25,6,1
FC Kirkkonummi/2,EPS/2,1,4,25,6,1
ViTa,Länsiväylän Dynamo,2,0,25,6,1
HooGee/Hodari,KJS/Sininen,1,2,25,6,1
Tikka/2,AC Rastaala,5,0,25,6,1
EPS/2,Vermo Vikings,3,0,25,6,1
KJS/Sininen,FC Kirkkonummi/2,7,1,25,6,1
AC Rastaala,HooGee/Hodari,2,2,25,6,1
Länsiväylän Dynamo,Tikka/2,2,5,25,6,1
EPS/2,KJS/Sininen,0,5,25,6,1
Vermo Vikings,Länsiväylän Dynamo,4,1,25,6,1
ViTa,AC Rastaala,3,1,25,6,1
HooGee/Hodari,Tikka/2,0,1,25,6,1
KJS/Sininen,Vermo Vikings,0,0,25,6,1
Länsiväylän Dynamo,HooGee/Hodari,2,2,25,6,1
Tikka/2,ViTa,7,0,25,6,1
AC Rastaala,FC Kirkkonummi/2,3,1,25,6,1
FC Kirkkonummi/2,Vermo Vikings,1,3,25,6,1
EPS/2,AC Rastaala,2,2,25,6,1
KJS/Sininen,Tikka/2,0,2,25,6,1
HooGee/Hodari,ViTa,2,3,25,6,1
ViTa,FC Kirkkonummi/2,3,1,25,6,1
Länsiväylän Dynamo,EPS/2,1,6,25,6,1
AC Rastaala,KJS/Sininen,2,2,25,6,1
Vermo Vikings,HooGee/Hodari,2,3,25,6,1
FC Kirkkonummi/2,Länsiväylän Dynamo,0,2,25,6,1
EPS/2,Tikka/2,0,0,25,6,1
KJS/Sininen,ViTa,1,1,25,6,1
Vermo Vikings,AC Rastaala,4,1,25,6,1
ViTa,EPS/2,0,3,25,6,1
Länsiväylän Dynamo,AC Rastaala,0,5,25,6,1
HooGee/Hodari,FC Kirkkonummi/2,2,2,25,6,1
Tikka/2,Vermo Vikings,0,1,25,6,1
FC Kirkkonummi/2,Tikka/2,0,3,25,6,1
EPS/2,HooGee/Hodari,4,0,25,6,1
KJS/Sininen,Länsiväylän Dynamo,8,0,25,6,1
Vermo Vikings,ViTa,4,1,25,6,1
EPS/2,FC Kirkkonummi/2,1,0,25,6,1
AC Rastaala,Tikka/2,1,5,25,6,1
Länsiväylän Dynamo,ViTa,3,3,25,6,1
KJS/Sininen,HooGee/Hodari,7,2,25,6,1
