team_home,team_away,goals_home,goals_away,league_division,season,group
Ponnistus/TK,HeKuLa,1,1,7,20,4
HeKuLa,FC POHU/Swigu,0,3,7,20,4
Käpylän Sekunda,HeKuLa,1,1,7,20,4
Tavastia/AC Tuska United,Kullervo,1,2,7,20,4
Ponnistus/TK,HePu/Pala,1,1,7,20,4
FC POHU/Swigu,AC StaSi/Europort,3,1,7,20,4
HJK/Töölön Ihme,PiTa,5,1,7,20,4
OT-77,FC Pakila,1,0,7,20,4
Ponnistus/TK,Käpylän Sekunda,2,3,7,20,4
FC Pakila,Tavastia/AC Tuska United,5,5,7,20,4
PiTa,FC POHU/Swigu,4,0,7,20,4
HePu/Pala,HJK/Töölön Ihme,0,1,7,20,4
AC StaSi/Europort,Ponnistus/TK,0,0,7,20,4
HeKuLa,OT-77,1,2,7,20,4
Kullervo,Käpylän Sekunda,4,0,7,20,4
Kullervo,AC StaSi/Europort,1,1,7,20,4
HePu/Pala,PiTa,3,2,7,20,4
FC Pakila,HJK/Töölön Ihme,0,1,7,20,4
Käpylän Sekunda,OT-77,2,0,7,20,4
Tavastia/AC Tuska United,FC POHU/Swigu,2,2,7,20,4
OT-77,Tavastia/AC Tuska United,2,0,7,20,4
PiTa,Kullervo,2,6,7,20,4
HeKuLa,FC Pakila,3,3,7,20,4
AC StaSi/Europort,HePu/Pala,2,0,7,20,4
FC POHU/Swigu,Käpylän Sekunda,4,1,7,20,4
HJK/Töölön Ihme,Ponnistus/TK,0,0,7,20,4
AC StaSi/Europort,Käpylän Sekunda,0,2,7,20,4
Kullervo,HeKuLa,3,2,7,20,4
PiTa,FC Pakila,3,6,7,20,4
HJK/Töölön Ihme,FC POHU/Swigu,1,1,7,20,4
Ponnistus/TK,Tavastia/AC Tuska United,1,2,7,20,4
HePu/Pala,OT-77,0,2,7,20,4
OT-77,Ponnistus/TK,3,0,7,20,4
HeKuLa,AC StaSi/Europort,1,1,7,20,4
FC Pakila,HePu/Pala,5,3,7,20,4
Käpylän Sekunda,HJK/Töölön Ihme,1,0,7,20,4
Tavastia/AC Tuska United,PiTa,1,1,7,20,4
FC POHU/Swigu,Kullervo,3,1,7,20,4
HJK/Töölön Ihme,OT-77,1,0,7,20,4
AC StaSi/Europort,Tavastia/AC Tuska United,1,0,7,20,4
HJK/Töölön Ihme,HeKuLa,0,2,7,20,4
Ponnistus/TK,FC Pakila,5,2,7,20,4
Kullervo,OT-77,1,1,7,20,4
HePu/Pala,FC POHU/Swigu,3,3,7,20,4
Käpylän Sekunda,PiTa,2,5,7,20,4
HePu/Pala,HeKuLa,4,2,7,20,4
FC Pakila,Kullervo,1,0,7,20,4
PiTa,AC StaSi/Europort,2,1,7,20,4
OT-77,FC POHU/Swigu,1,2,7,20,4
Tavastia/AC Tuska United,HJK/Töölön Ihme,0,3,7,20,4
Kullervo,HePu/Pala,3,1,7,20,4
HeKuLa,PiTa,1,1,7,20,4
Käpylän Sekunda,Tavastia/AC Tuska United,0,2,7,20,4
AC StaSi/Europort,FC Pakila,2,1,7,20,4
FC POHU/Swigu,Ponnistus/TK,0,2,7,20,4
Kullervo,HJK/Töölön Ihme,2,2,7,20,4
HePu/Pala,Tavastia/AC Tuska United,0,3,7,20,4
AC StaSi/Europort,OT-77,0,2,7,20,4
PiTa,Ponnistus/TK,0,2,7,20,4
FC Pakila,Käpylän Sekunda,6,2,7,20,4
Tavastia/AC Tuska United,HeKuLa,1,2,7,20,4
FC POHU/Swigu,FC Pakila,4,1,7,20,4
Ponnistus/TK,Kullervo,2,1,7,20,4
HJK/Töölön Ihme,AC StaSi/Europort,0,0,7,20,4
Käpylän Sekunda,HePu/Pala,1,1,7,20,4
OT-77,PiTa,1,3,7,20,4
Roxbury JK Hki,FC POHU/Kova Kamppi,4,0,7,20,5
FC Kontu/TDJ,HakPa,1,4,7,20,5
JJ Vepo,FC Lähiö,0,7,7,20,5
AS RaPe,FC Puimur,1,2,7,20,5
KOPSE/CRPS FC,MoPo,1,0,7,20,5
Valtti/3,Cosmos,1,3,7,20,5
FC Puimur,JJ Vepo,5,1,7,20,5
MoPo,Valtti/3,4,0,7,20,5
HakPa,AS RaPe,4,2,7,20,5
FC POHU/Kova Kamppi,KOPSE/CRPS FC,1,3,7,20,5
Cosmos,Roxbury JK Hki,1,0,7,20,5
FC Lähiö,FC Kontu/TDJ,0,3,7,20,5
MoPo,HakPa,0,4,7,20,5
FC Kontu/TDJ,Roxbury JK Hki,5,1,7,20,5
Cosmos,HakPa,0,0,7,20,5
Roxbury JK Hki,KOPSE/CRPS FC,3,1,7,20,5
MoPo,AS RaPe,0,0,7,20,5
HakPa,FC Puimur,3,1,7,20,5
Cosmos,FC Lähiö,4,2,7,20,5
Valtti/3,JJ Vepo,5,1,7,20,5
FC Kontu/TDJ,FC POHU/Kova Kamppi,7,1,7,20,5
FC Lähiö,HakPa,1,1,7,20,5
KOPSE/CRPS FC,Valtti/3,4,3,7,20,5
JJ Vepo,Roxbury JK Hki,0,3,7,20,5
FC Puimur,Cosmos,1,2,7,20,5
AS RaPe,FC Kontu/TDJ,0,6,7,20,5
FC POHU/Kova Kamppi,MoPo,1,3,7,20,5
FC Puimur,MoPo,3,1,7,20,5
FC Lähiö,Roxbury JK Hki,0,0,7,20,5
HakPa,KOPSE/CRPS FC,1,2,7,20,5
FC Kontu/TDJ,Valtti/3,3,0,7,20,5
Cosmos,FC POHU/Kova Kamppi,0,0,7,20,5
AS RaPe,JJ Vepo,10,0,7,20,5
KOPSE/CRPS FC,FC Kontu/TDJ,2,5,7,20,5
MoPo,Cosmos,1,1,7,20,5
Valtti/3,FC Puimur,3,1,7,20,5
FC POHU/Kova Kamppi,FC Lähiö,0,3,7,20,5
Roxbury JK Hki,AS RaPe,0,1,7,20,5
JJ Vepo,Cosmos,0,3,7,20,5
HakPa,Valtti/3,0,0,7,20,5
Roxbury JK Hki,FC Puimur,2,0,7,20,5
HakPa,JJ Vepo,10,1,7,20,5
AS RaPe,FC POHU/Kova Kamppi,1,0,7,20,5
FC Kontu/TDJ,MoPo,1,1,7,20,5
FC Lähiö,Valtti/3,6,0,7,20,5
Valtti/3,AS RaPe,1,0,7,20,5
FC Puimur,FC Lähiö,2,3,7,20,5
HakPa,FC POHU/Kova Kamppi,3,2,7,20,5
KOPSE/CRPS FC,JJ Vepo,3,2,7,20,5
FC Lähiö,MoPo,0,0,7,20,5
JJ Vepo,FC Kontu/TDJ,0,7,7,20,5
Roxbury JK Hki,Valtti/3,2,0,7,20,5
FC POHU/Kova Kamppi,FC Puimur,1,3,7,20,5
FC POHU/Kova Kamppi,JJ Vepo,2,3,7,20,5
MoPo,Roxbury JK Hki,1,2,7,20,5
FC Lähiö,KOPSE/CRPS FC,1,3,7,20,5
FC Puimur,FC Kontu/TDJ,2,3,7,20,5
Valtti/3,FC POHU/Kova Kamppi,3,2,7,20,5
Roxbury JK Hki,HakPa,0,1,7,20,5
FC Kontu/TDJ,Cosmos,0,2,7,20,5
AS RaPe,FC Lähiö,1,2,7,20,5
JJ Vepo,MoPo,0,1,7,20,5
KOPSE/CRPS FC,FC Puimur,1,4,7,20,5
Cosmos,KOPSE/CRPS FC,3,1,7,20,5
AS RaPe,KOPSE/CRPS FC,2,0,7,20,5
Cosmos,AS RaPe,2,1,7,20,5
