Home,Away
Valtti/TDJ,Käpylän Sekunda
Trikiinit,Kullervo
FC Lähiö,MLHF/Reserves
PK-35/Äijät,Cosmos
Cosmos,Valtti/4
Käpylän Sekunda,PK-35/Äijät
Kullervo,Valtti/TDJ
MLHF/Reserves,Trikiinit
Cosmos,Käpylän Sekunda
MLHF/Reserves,Valtti/TDJ
PK-35/Äijät,FC Lähiö
Valtti/4,Trikiinit
Kullervo,MLHF/Reserves
Trikiinit,PK-35/Äijät
FC Lähiö,Valtti/4
Valtti/TDJ,Cosmos
Käpylän Sekunda,FC Lähiö
Cosmos,Trikiinit
PK-35/Äijät,MLHF/Reserves
Valtti/4,Kullervo
MLHF/Reserves,Käpylän Sekunda
Kullervo,Cosmos
Trikiinit,FC Lähiö
Valtti/TDJ,Valtti/4
Valtti/4,PK-35/Äijät
Cosmos,MLHF/Reserves
Käpylän Sekunda,Kullervo
FC Lähiö,Valtti/TDJ
Käpylän Sekunda,Trikiinit
MLHF/Reserves,Valtti/4
Kullervo,FC Lähiö
Valtti/TDJ,PK-35/Äijät
Trikiinit,Valtti/TDJ
FC Lähiö,Cosmos
PK-35/Äijät,Kullervo
Valtti/4,Käpylän Sekunda
