home_team,away_team
MK United/Warriors,PK-35/Legendat
VAMOL/Myyrmäki,FC Viikingit/S.C.P L
Scorpions,Ruila
Ruila,MK United/Warriors
Ariana FC,Trikiinit
PK-35/Legendat,VAMOL/Myyrmäki
PK-35/Legendat,Ariana FC
FC Viikingit/S.C.P L,Trikiinit
Scorpions,VAMOL/Myyrmäki
Ariana FC,FC Viikingit/S.C.P L
VAMOL/Myyrmäki,MK United/Warriors
Trikiinit,Ruila
MK United/Warriors,Ariana FC
PK-35/Legendat,Trikiinit
Scorpions,FC Viikingit/S.C.P L
Ariana FC,Ruila
Scorpions,PK-35/Legendat
Trikiinit,MK United/Warriors
Ruila,FC Viikingit/S.C.P L
MK United/Warriors,Scorpions
VAMOL/Myyrmäki,Trikiinit
Ariana FC,VAMOL/Myyrmäki
Ruila,PK-35/Legendat
Trikiinit,Scorpions
FC Viikingit/S.C.P L,MK United/Warriors
Scorpions,Ariana FC
VAMOL/Myyrmäki,Ruila
PK-35/Legendat,FC Viikingit/S.C.P L
