Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ilves,76.1,18.4,4.7,0.7000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,14.299999999999999,38.1,28.999999999999996,11.600000000000001,5.800000000000001,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inter Turku,7.6,30.9,34.0,17.9,6.800000000000001,2.3,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJK,1.9,8.1,17.1,31.8,22.1,12.2,4.5,1.7999999999999998,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJK,0.1,3.5999999999999996,10.299999999999999,23.3,28.799999999999997,16.7,8.7,4.8,2.4,0.8999999999999999,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haka,0.0,0.5,2.6,6.0,14.399999999999999,23.3,17.9,18.3,9.1,4.3999999999999995,2.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF Jaro,0.0,0.3,1.4000000000000001,4.5,9.5,17.7,21.0,17.599999999999998,13.900000000000002,9.0,3.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IF Gnistan,0.0,0.1,0.4,1.7999999999999998,5.3,12.0,20.1,22.2,19.5,9.5,6.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS,0.0,0.0,0.5,2.1999999999999997,6.7,11.4,17.8,19.5,18.7,14.399999999999999,6.800000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KTP,0.0,0.0,0.0,0.1,0.4,1.3,3.1,6.2,14.299999999999999,23.9,26.200000000000003,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Oulu,0.0,0.0,0.0,0.1,0.1,1.3,3.2,5.5,12.0,18.8,25.6,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFK Mariehamn,0.0,0.0,0.0,0.0,0.0,0.8,3.2,3.9,9.8,19.0,28.599999999999998,34.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
