Squad,1,2,3,4,5,6,7,8,9,10,11,12
Ilves,76.7,17.8,4.0,1.4000000000000001,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,13.4,41.4,27.6,11.600000000000001,4.3999999999999995,1.0,0.3,0.2,0.1,0.0,0.0,0.0
Inter Turku,8.1,30.2,35.0,17.5,6.5,1.6,0.7000000000000001,0.3,0.1,0.0,0.0,0.0
SJK,1.5,7.1,19.5,32.9,19.3,10.7,5.8999999999999995,2.4,0.7000000000000001,0.0,0.0,0.0
HJK,0.3,3.0,9.4,21.0,31.4,18.4,9.1,4.7,1.9,0.4,0.4,0.0
Haka,0.0,0.2,2.1999999999999997,6.5,14.799999999999999,22.400000000000002,19.8,14.499999999999998,11.1,5.2,2.5,0.8
FF Jaro,0.0,0.3,1.5,4.8,10.4,16.400000000000002,19.0,19.5,14.7,7.6,3.6999999999999997,2.1
IF Gnistan,0.0,0.0,0.5,3.2,6.6000000000000005,12.3,19.6,21.6,16.400000000000002,10.299999999999999,6.800000000000001,2.7
VPS,0.0,0.0,0.3,1.0,5.5,13.5,16.900000000000002,20.5,21.0,12.0,5.800000000000001,3.5000000000000004
KTP,0.0,0.0,0.0,0.0,0.4,1.7000000000000002,3.3000000000000003,6.4,11.0,24.9,24.9,27.400000000000002
AC Oulu,0.0,0.0,0.0,0.0,0.3,0.8999999999999999,2.9000000000000004,5.4,11.899999999999999,21.2,27.400000000000002,30.0
IFK Mariehamn,0.0,0.0,0.0,0.1,0.4,1.0,2.5,4.5,11.1,18.4,28.499999999999996,33.5
