Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,0.0,81.10000000000001,14.2,3.9,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,0.0,12.2,56.99999999999999,20.200000000000003,8.200000000000001,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,3.1,13.4,29.9,24.6,22.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,0.0,2.1,8.0,25.4,31.1,24.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.0,1.4000000000000001,7.1,17.9,28.4,33.5,11.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0,0.1,0.3,2.7,7.3,17.4,65.0,6.6000000000000005,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,4.2,48.1,33.6,11.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.1,2.6,34.300000000000004,37.0,17.1,8.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5.4,15.9,38.9,34.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.3,12.7,30.099999999999998,45.300000000000004,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.3,9.0,77.2,7.5,3.1,0.5,0.1,0.0,0.0,0.0,0.0
Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,32.2,26.900000000000002,18.7,14.099999999999998,1.9,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,26.5,25.5,22.3,17.8,5.7,0.0,0.0,0.0
Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,13.8,19.6,23.9,25.0,15.9,0.0,0.0,0.0
Manchester Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,18.3,24.099999999999998,20.599999999999998,19.3,0.0,0.0,0.0
West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003,6.6000000000000005,10.5,22.400000000000002,57.199999999999996,0.0,0.0,0.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.10000000000001,22.900000000000002,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.900000000000002,77.10000000000001,0.0
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
