Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Barcelona,89.60000000000001,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Madrid,10.4,88.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Madrid,0.0,1.3,95.7,2.9000000000000004,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athletic Club,0.0,0.0,2.9000000000000004,80.5,13.600000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.0,0.0,0.1,11.799999999999999,52.900000000000006,35.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betis,0.0,0.0,0.0,4.8,33.4,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celta Vigo,0.0,0.0,0.0,0.0,0.0,0.0,57.699999999999996,23.7,10.0,5.1,2.6,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallorca,0.0,0.0,0.0,0.0,0.0,0.0,24.2,32.2,16.400000000000002,12.8,7.6,4.6,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0
Rayo Vallecano,0.0,0.0,0.0,0.0,0.0,0.0,9.4,15.9,21.5,20.1,14.299999999999999,10.9,4.7,2.1999999999999997,0.8,0.2,0.0,0.0,0.0,0.0
Osasuna,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.700000000000001,21.8,19.3,16.400000000000002,10.7,8.3,4.1000000000000005,0.4,0.3,0.0,0.0,0.0,0.0
Real Sociedad,0.0,0.0,0.0,0.0,0.0,0.0,2.3,9.2,14.000000000000002,16.1,19.7,15.8,12.3,7.1,2.4,0.8999999999999999,0.2,0.0,0.0,0.0
Valencia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,7.7,11.899999999999999,15.5,18.3,17.299999999999997,11.700000000000001,9.3,3.8,1.0999999999999999,0.0,0.0,0.0
Getafe,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.1999999999999997,3.8,5.7,9.9,12.2,19.0,19.8,13.8,10.2,2.6,0.5,0.0,0.0
Espanyol,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.2,6.1,6.9,12.6,16.7,17.599999999999998,16.7,11.0,6.4,2.1999999999999997,0.2,0.0
Sevilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8999999999999999,0.8999999999999999,2.7,5.1,7.199999999999999,12.3,20.1,24.6,16.900000000000002,8.3,0.7000000000000001,0.0
Girona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,1.6,3.3000000000000003,5.7,8.200000000000001,12.6,17.599999999999998,18.2,21.0,9.6,1.5,0.0
Alavés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.0999999999999999,3.0,5.0,10.2,14.799999999999999,21.2,28.599999999999998,12.7,2.9000000000000004,0.0
Las Palmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.3,3.1,7.3999999999999995,14.499999999999998,38.7,34.599999999999994,0.0
Leganés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.6,2.1999999999999997,8.7,28.000000000000004,60.099999999999994,0.0
Valladolid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
