Squad,1,2,3,4,5,6,7,8,9,10,11,12
Inter Turku,85.9,12.5,1.4000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilves,12.3,55.1,18.6,11.799999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuPS,1.0,18.0,43.2,24.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJK,0.8,13.100000000000001,26.5,41.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJK,0.0,1.3,10.299999999999999,21.5,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IF Gnistan,0.0,0.0,0.0,0.0,0.0,74.4,16.6,8.9,0.1,0.0,0.0,0.0
VPS,0.0,0.0,0.0,0.0,0.0,15.0,44.6,37.5,2.9000000000000004,0.0,0.0,0.0
FF Jaro,0.0,0.0,0.0,0.0,0.0,10.6,38.3,46.9,4.1000000000000005,0.1,0.0,0.0
IFK Mariehamn,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.9000000000000004,40.300000000000004,39.2,13.5,3.9
Haka,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1,31.7,30.099999999999998,26.3,8.6
AC Oulu,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,16.8,24.3,36.3,22.0
KTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.1000000000000005,6.3,23.9,65.5
