Squad,1,2,3,4,5,6,7,8,9,10
FC ST4Y,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tavastia,0.0,61.199999999999996,38.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC POHU/United,0.0,38.800000000000004,61.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETO,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Vesa/Töölö,0.0,0.0,0.0,0.0,43.9,54.7,1.4000000000000001,0.0,0.0,0.0
FC Pehmeet ja Märät,0.0,0.0,0.0,0.0,54.1,29.5,16.400000000000002,0.0,0.0,0.0
HIFK/2,0.0,0.0,0.0,0.0,2.0,15.8,77.0,5.2,0.0,0.0
ToTe/Keparoi,0.0,0.0,0.0,0.0,0.0,0.0,5.2,94.8,0.0,0.0
FC POHU/Simpsons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
PPJ/LeJa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
