Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Inter,56.00000000000001,26.700000000000003,9.4,4.9,1.9,0.8999999999999999,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roma,24.7,31.7,20.599999999999998,12.2,6.3,2.6,0.8999999999999999,0.8999999999999999,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napoli,10.7,20.599999999999998,23.5,20.1,10.8,6.5,3.5999999999999996,1.7999999999999998,1.7000000000000002,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan,5.6000000000000005,9.4,17.9,22.2,15.7,12.0,7.3999999999999995,5.2,2.0,2.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,2.5,8.5,16.0,16.8,21.4,12.1,9.8,6.4,3.4000000000000004,1.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juventus,0.1,1.4000000000000001,3.5000000000000004,6.9,12.1,15.7,16.900000000000002,15.299999999999999,12.7,10.2,3.8,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Como,0.2,0.8,3.4000000000000004,5.8999999999999995,9.9,15.299999999999999,17.5,15.8,13.4,10.5,4.7,2.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Atalanta,0.2,0.5,2.0,4.8,9.5,12.8,15.0,17.0,17.0,11.799999999999999,5.5,2.6,0.8,0.3,0.2,0.0,0.0,0.0,0.0,0.0
Sassuolo,0.0,0.3,2.1,3.3000000000000003,6.9,11.700000000000001,14.299999999999999,15.8,16.5,15.2,7.199999999999999,4.3999999999999995,1.2,0.6,0.2,0.1,0.2,0.0,0.0,0.0
Lazio,0.0,0.1,1.6,2.5,4.5,9.0,11.799999999999999,14.2,18.7,17.599999999999998,10.4,5.4,2.3,1.0,0.7000000000000001,0.1,0.1,0.0,0.0,0.0
Cremonese,0.0,0.0,0.0,0.4,0.7000000000000001,0.8,1.7000000000000002,4.3999999999999995,7.3999999999999995,12.9,23.200000000000003,17.599999999999998,13.0,7.3,5.6000000000000005,2.1999999999999997,1.7000000000000002,0.8,0.3,0.0
Torino,0.0,0.0,0.0,0.0,0.2,0.5,0.6,1.7000000000000002,3.0,8.200000000000001,17.0,18.5,14.499999999999998,12.7,9.0,7.1,3.2,2.3,1.4000000000000001,0.1
Udinese,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.6,1.7999999999999998,3.3000000000000003,8.200000000000001,14.099999999999998,15.8,16.400000000000002,12.5,9.3,7.9,6.2,2.9000000000000004,0.6
Fiorentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,2.9000000000000004,6.1,9.1,12.7,14.2,15.2,10.9,9.8,9.8,6.2,1.7000000000000002
Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.4000000000000001,5.0,8.799999999999999,12.8,11.200000000000001,13.700000000000001,12.1,13.900000000000002,9.3,9.1,2.1
Genoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,3.0,6.800000000000001,7.7,11.799999999999999,12.9,16.7,14.099999999999998,12.0,9.8,4.2
Pisa,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.7999999999999998,4.9,8.200000000000001,9.6,11.1,13.4,15.5,16.6,13.200000000000001,5.0
Parma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.5,2.5,5.8999999999999995,8.1,9.2,13.4,15.2,17.2,18.4,8.0
Lecce,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.2,1.2,1.7000000000000002,4.1000000000000005,6.1,8.799999999999999,12.5,15.4,18.8,21.4,9.4
Hellas Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.8,2.1999999999999997,3.0,7.000000000000001,17.299999999999997,68.89999999999999
