Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Manchester City,51.1,40.699999999999996,7.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,45.7,44.4,7.7,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,2.8000000000000003,11.200000000000001,46.1,22.900000000000002,8.1,4.3,2.7,0.8,0.3,0.5,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,0.3,2.6,20.4,27.0,21.099999999999998,11.200000000000001,7.8,3.9,2.1999999999999997,1.5,1.0999999999999999,0.7000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.1,0.7000000000000001,10.4,20.5,19.5,15.0,12.5,7.1,5.1,3.5000000000000004,2.1999999999999997,1.9,0.8999999999999999,0.4,0.1,0.1,0.0,0.0,0.0,0.0
Sunderland,0.0,0.1,3.0,10.9,15.299999999999999,13.4,12.7,11.5,10.100000000000001,7.7,6.1,3.3000000000000003,2.8000000000000003,1.7000000000000002,0.8999999999999999,0.4,0.1,0.0,0.0,0.0
Crystal Palace,0.0,0.1,1.3,3.9,8.0,11.899999999999999,12.8,13.0,12.6,10.5,7.1,6.9,6.1,2.5,2.0,1.0,0.3,0.0,0.0,0.0
Newcastle United,0.0,0.1,1.4000000000000001,3.9,7.199999999999999,10.7,10.4,11.5,11.4,9.8,10.8,8.0,6.0,4.0,2.7,1.7000000000000002,0.4,0.0,0.0,0.0
Brighton & Hove Albion,0.0,0.0,1.0,2.4,4.8,8.3,9.5,10.4,10.5,11.3,9.8,11.200000000000001,6.9,6.800000000000001,3.5999999999999996,2.1999999999999997,1.2,0.0,0.1,0.0
Brentford,0.0,0.0,0.5,1.5,4.7,6.2,7.3,11.1,11.1,10.9,11.4,9.700000000000001,9.9,6.800000000000001,4.9,2.9000000000000004,1.0999999999999999,0.0,0.0,0.0
Manchester United,0.0,0.0,0.6,1.6,4.8,7.3999999999999995,8.3,8.1,10.2,10.299999999999999,11.799999999999999,11.0,8.9,7.5,4.1000000000000005,3.0,1.7000000000000002,0.7000000000000001,0.0,0.0
Everton,0.0,0.1,0.4,1.3,3.5999999999999996,6.1,7.5,9.6,10.4,9.8,11.799999999999999,10.6,10.299999999999999,7.1,4.8,4.3999999999999995,2.0,0.1,0.1,0.0
Fulham,0.0,0.0,0.0,0.4,1.3,2.9000000000000004,3.2,6.1,6.9,8.6,8.3,10.0,13.4,13.8,10.7,8.200000000000001,5.1,1.0,0.1,0.0
AFC Bournemouth,0.0,0.0,0.1,0.5,0.7000000000000001,1.7000000000000002,3.1,3.3000000000000003,3.9,7.8,7.6,11.600000000000001,12.5,13.4,15.0,9.9,7.5,1.3,0.1,0.0
Tottenham Hotspur,0.0,0.0,0.0,0.1,0.4,0.5,1.2,2.0,2.6,3.1,5.7,6.9,9.3,12.6,17.1,19.2,15.2,3.4000000000000004,0.7000000000000001,0.0
Leeds United,0.0,0.0,0.0,0.0,0.2,0.4,0.4,1.0999999999999999,1.2,2.5,3.5999999999999996,3.5999999999999996,8.0,11.0,14.499999999999998,20.7,22.7,9.0,1.0999999999999999,0.0
Nottingham Forest,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.5,1.5,2.1999999999999997,2.6,4.3,4.3999999999999995,11.1,16.3,19.400000000000002,25.900000000000002,9.3,1.7999999999999998,0.0
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.0999999999999999,2.9000000000000004,5.1,12.2,49.1,27.3,1.7000000000000002
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.7999999999999998,4.6,24.9,64.8,3.4000000000000004
Wolverhampton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.9,94.89999999999999
