Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Barcelona,64.2,34.300000000000004,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Madrid,35.5,59.9,4.1000000000000005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Madrid,0.2,4.0,65.9,28.799999999999997,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villarreal,0.1,1.7999999999999998,28.4,66.2,2.9000000000000004,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Betis,0.0,0.0,0.1,3.0,49.5,22.6,11.5,7.199999999999999,2.9000000000000004,1.7000000000000002,0.7000000000000001,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Celta Vigo,0.0,0.0,0.2,1.0,24.0,27.6,16.1,11.3,7.1,4.6,3.8,2.0,1.0999999999999999,0.7000000000000001,0.2,0.1,0.0,0.1,0.1,0.0
Espanyol,0.0,0.0,0.0,0.1,9.1,17.299999999999997,20.1,16.900000000000002,11.0,9.700000000000001,6.2,4.0,3.0,1.6,0.4,0.4,0.2,0.0,0.0,0.0
Athletic Club,0.0,0.0,0.0,0.0,5.800000000000001,11.4,15.9,12.6,14.499999999999998,10.7,8.200000000000001,6.4,4.3,3.5000000000000004,3.5000000000000004,1.4000000000000001,1.0,0.1,0.7000000000000001,0.0
Real Sociedad,0.0,0.0,0.0,0.1,4.2,9.4,14.499999999999998,17.599999999999998,13.0,10.9,6.6000000000000005,8.5,4.5,4.2,2.1,2.1999999999999997,1.6,0.4,0.2,0.0
Osasuna,0.0,0.0,0.0,0.0,1.2,3.3000000000000003,4.9,6.2,9.8,7.8,11.1,10.100000000000001,11.600000000000001,8.5,7.6,6.6000000000000005,5.8999999999999995,3.0,2.1999999999999997,0.2
Elche,0.0,0.0,0.0,0.0,0.8999999999999999,2.4,6.3,5.8999999999999995,7.3999999999999995,8.9,11.200000000000001,9.700000000000001,8.200000000000001,10.9,9.4,7.199999999999999,5.6000000000000005,3.9,2.0,0.1
Deportivo Alavés,0.0,0.0,0.0,0.1,0.3,1.2,2.6,5.2,7.3,9.2,9.4,8.6,11.0,10.4,8.0,8.7,8.3,6.1,3.4000000000000004,0.2
Sevilla,0.0,0.0,0.0,0.0,0.4,1.2,1.7999999999999998,4.6,7.199999999999999,7.7,10.6,10.8,10.299999999999999,8.9,8.1,9.0,7.3999999999999995,6.3,5.2,0.5
Girona FC,0.0,0.0,0.0,0.0,0.4,1.3,3.4000000000000004,4.3,6.5,7.7,8.9,8.6,10.299999999999999,8.799999999999999,9.8,10.100000000000001,8.6,7.000000000000001,4.2,0.1
Valencia,0.0,0.0,0.0,0.0,0.3,0.4,1.0,2.1999999999999997,3.5999999999999996,4.5,6.6000000000000005,5.8999999999999995,9.4,9.3,11.3,10.100000000000001,11.700000000000001,13.3,9.700000000000001,0.7000000000000001
Mallorca,0.0,0.0,0.0,0.0,0.1,0.5,0.6,1.7999999999999998,3.2,4.8,4.3999999999999995,7.7,6.5,10.7,10.4,11.4,10.7,12.3,13.0,1.9
Rayo Vallecano,0.0,0.0,0.0,0.0,0.1,0.2,0.8999999999999999,1.2,3.1,4.7,4.8,6.7,6.9,7.5,9.700000000000001,9.9,12.0,15.9,14.7,1.7000000000000002
Getafe,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.1,2.0,4.6,4.3999999999999995,6.5,7.5,8.5,10.6,12.0,11.899999999999999,13.900000000000002,14.7,1.0999999999999999
Levante UD,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.8999999999999999,1.4000000000000001,2.5,3.1,3.9,5.3,6.3,8.799999999999999,10.7,14.799999999999999,15.299999999999999,23.3,3.2
Real Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.4,6.6000000000000005,90.3
