Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Paris Saint-Germain,96.3,3.5000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC Lens,2.7,61.1,26.1,8.4,1.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique de Marseille,0.7000000000000001,24.9,42.1,23.1,6.0,1.9,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique Lyonnais,0.3,9.700000000000001,25.3,43.1,14.099999999999998,4.5,1.9,0.7000000000000001,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lille,0.0,0.7000000000000001,4.1000000000000005,12.1,34.5,21.8,14.499999999999998,7.1,3.2,1.4000000000000001,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
RC Strasbourg,0.0,0.0,0.7000000000000001,6.1,16.7,22.6,20.8,13.3,8.799999999999999,6.0,2.9000000000000004,1.5,0.5,0.1,0.0,0.0,0.0,0.0
Stade Rennais,0.0,0.0,0.6,3.1,9.1,16.2,17.2,20.4,16.5,9.5,4.3,2.4,0.4,0.3,0.0,0.0,0.0,0.0
Toulouse,0.0,0.1,0.6,2.3,8.4,15.9,16.2,18.4,17.1,9.6,6.6000000000000005,3.0,1.0999999999999999,0.6,0.1,0.0,0.0,0.0
AS Monaco,0.0,0.0,0.2,1.6,8.200000000000001,12.6,18.7,17.2,17.5,11.200000000000001,7.9,2.3,1.7999999999999998,0.8,0.0,0.0,0.0,0.0
Lorient,0.0,0.0,0.0,0.1,0.8999999999999999,2.0,3.2,7.6,12.3,18.099999999999998,18.7,17.299999999999997,10.5,6.7,2.0,0.5,0.1,0.0
Nice,0.0,0.0,0.1,0.1,0.3,0.7000000000000001,2.0,5.800000000000001,9.4,15.7,16.900000000000002,17.1,15.8,10.7,3.9,1.4000000000000001,0.1,0.0
Stade Brestois,0.0,0.0,0.0,0.0,0.2,0.5,2.0,5.800000000000001,8.3,13.900000000000002,17.5,18.5,18.2,9.3,4.1000000000000005,1.5,0.2,0.0
Angers,0.0,0.0,0.0,0.0,0.3,1.0999999999999999,1.6,2.9000000000000004,4.9,11.3,15.4,17.9,21.8,13.4,6.800000000000001,2.4,0.2,0.0
Paris FC,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.6,1.5,2.1,7.1,12.9,15.299999999999999,26.700000000000003,21.5,9.6,1.7000000000000002,0.3
Le Havre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8999999999999999,1.6,5.5,9.4,19.6,29.4,23.400000000000002,7.9,2.0
Auxerre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,1.3,4.3,7.1,19.900000000000002,31.6,23.200000000000003,12.0
Nantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7000000000000001,3.9,8.1,19.5,39.2,28.4
Metz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.2,10.100000000000001,27.400000000000002,57.3
