team,attack_rating,defense_rating,goal_difference_rating
Trikiinit,3.669595803929233,1.3409431988907745,2.3286526050384584
MLHF/Reserves,3.3758389208464203,1.0710639412628593,2.304774979583561
Valtti/TDJ,3.900312649682455,1.7185062826643644,2.1818063670180905
PK-35/Äijät,3.034018997765387,1.1650550746758535,1.8689639230895334
FC Lähiö,3.3539240924137133,1.5874349052537609,1.7664891871599524
AFC EMU,2.2827985396693817,0.7646487568761394,1.5181497827932424
Cosmos,2.0414192404901326,0.8819564043133199,1.1594628361768127
Valtti/4,1.5611791782298146,0.8102403537326615,0.7509388244971531
HPS/Rangers,2.746312955409156,2.001156362944014,0.745156592465142
Kullervo,2.027518323200688,1.5978420152905268,0.4296763079101613
Ponnistus/TK,2.2800577890641818,1.8634499562836084,0.41660783278057334
FC Puimur,1.550468044577886,1.2198577908214665,0.3306102537564195
FC POHU/Sober,1.8541254704779468,1.743467641887998,0.11065782858994888
Käpylän Sekunda,3.140831334997175,3.084036788908988,0.05679454608818668
ToTe/Arabia,2.740810416821666,2.7002667470017103,0.0405436698199555
LPS/7,1.64111690035233,1.9635781149485578,-0.3224612145962278
FC POHU/Kova Kamppi,2.395080603822794,2.740810416821666,-0.34572981299887173
KOPSE/CRPS FC,1.9635781149485578,2.4624783031717614,-0.4989001882232036
Tavastia/FC Mojo,2.20478601252847,2.8848154258187866,-0.6800294132903164
AC StaSi/Europort,2.333197932932321,3.1240222603205687,-0.7908243273882478
Kasiysi/3,0.7951725252738707,1.5915721952711557,-0.796399669997285
Kilo IF/2,1.5978420152905268,2.5895586903042886,-0.9917166750137618
Kullervo/Überkleber,2.5144376462922056,3.676790871441672,-1.1623532251494666
HeKuLa,0.8250647642400324,2.441874393201343,-1.6168096289613105
OT-77,0.9720763321132758,2.681783752439896,-1.70970742032662
MoPo,0.8580092928038502,2.5678812365235144,-1.7098719437196643
FC Pakila,1.0506897310448733,3.0699899893003586,-2.0193002582554853
JJ Vepo,1.6584135377740172,4.469814037186607,-2.81140049941259
